2024-10-07 17:09:19 startup archives install
2024-10-07 17:09:19 install base-passwd:arm64 <none> 3.6.4
2024-10-07 17:09:19 status half-installed base-passwd:arm64 3.6.4
2024-10-07 17:09:19 status unpacked base-passwd:arm64 3.6.4
2024-10-07 17:09:19 configure base-passwd:arm64 3.6.4 3.6.4
2024-10-07 17:09:19 status half-configured base-passwd:arm64 3.6.4
2024-10-07 17:09:19 status installed base-passwd:arm64 3.6.4
2024-10-07 17:09:19 startup archives install
2024-10-07 17:09:19 install base-files:arm64 <none> 13.3ubuntu6
2024-10-07 17:09:19 status half-installed base-files:arm64 13.3ubuntu6
2024-10-07 17:09:19 status unpacked base-files:arm64 13.3ubuntu6
2024-10-07 17:09:19 configure base-files:arm64 13.3ubuntu6 13.3ubuntu6
2024-10-07 17:09:19 status half-configured base-files:arm64 13.3ubuntu6
2024-10-07 17:09:19 status installed base-files:arm64 13.3ubuntu6
2024-10-07 17:09:19 startup archives install
2024-10-07 17:09:20 upgrade dpkg 1.22.11ubuntu1 1.22.11ubuntu1
2024-10-07 17:09:20 status half-configured dpkg 1.22.11ubuntu1
2024-10-07 17:09:20 status unpacked dpkg 1.22.11ubuntu1
2024-10-07 17:09:20 status half-installed dpkg 1.22.11ubuntu1
2024-10-07 17:09:20 status unpacked dpkg:arm64 1.22.11ubuntu1
2024-10-07 17:09:20 configure dpkg:arm64 1.22.11ubuntu1 1.22.11ubuntu1
2024-10-07 17:09:20 status half-configured dpkg:arm64 1.22.11ubuntu1
2024-10-07 17:09:20 status installed dpkg:arm64 1.22.11ubuntu1
2024-10-07 17:09:20 startup archives install
2024-10-07 17:09:20 install libc6:arm64 <none> 2.40-1ubuntu3
2024-10-07 17:09:20 status half-installed libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:20 status unpacked libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:20 configure libc6:arm64 2.40-1ubuntu3 2.40-1ubuntu3
2024-10-07 17:09:20 status half-configured libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:20 status installed libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:20 startup archives install
2024-10-07 17:09:20 install perl-base:arm64 <none> 5.38.2-5
2024-10-07 17:09:20 status half-installed perl-base:arm64 5.38.2-5
2024-10-07 17:09:20 status unpacked perl-base:arm64 5.38.2-5
2024-10-07 17:09:20 configure perl-base:arm64 5.38.2-5 5.38.2-5
2024-10-07 17:09:20 status half-configured perl-base:arm64 5.38.2-5
2024-10-07 17:09:20 status installed perl-base:arm64 5.38.2-5
2024-10-07 17:09:21 startup archives install
2024-10-07 17:09:21 install mawk:arm64 <none> 1.3.4.20240622-2
2024-10-07 17:09:21 status half-installed mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:21 status unpacked mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:21 configure mawk:arm64 1.3.4.20240622-2 1.3.4.20240622-2
2024-10-07 17:09:21 status half-configured mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:21 status installed mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:21 startup archives unpack
2024-10-07 17:09:21 upgrade base-files:arm64 13.3ubuntu6 13.3ubuntu6
2024-10-07 17:09:21 status half-configured base-files:arm64 13.3ubuntu6
2024-10-07 17:09:21 status unpacked base-files:arm64 13.3ubuntu6
2024-10-07 17:09:21 status half-installed base-files:arm64 13.3ubuntu6
2024-10-07 17:09:21 status unpacked base-files:arm64 13.3ubuntu6
2024-10-07 17:09:21 upgrade base-passwd:arm64 3.6.4 3.6.4
2024-10-07 17:09:21 status half-configured base-passwd:arm64 3.6.4
2024-10-07 17:09:21 status unpacked base-passwd:arm64 3.6.4
2024-10-07 17:09:21 status half-installed base-passwd:arm64 3.6.4
2024-10-07 17:09:21 status unpacked base-passwd:arm64 3.6.4
2024-10-07 17:09:21 install bash:arm64 <none> 5.2.32-1ubuntu1
